KSU_SIS_COMP_SCI_ANALYSIS_03, 10415,,,,,,,,,,,,,,,,,
KSU_MASTR_TYPE,Term,EMPLID,WID,Sex,KSU Hispanic YN,Ethnic Grp,KSU AmIndian YN,KSU Asian YN,KSU Afr Amer YN,KSU Hawaiian YN,KSU White YN,KSU HS Name,KSU HS City,Citizen Country,KSU First Gen,Academic Plan,Sub-Plan,KSU Undergrad C
DAILY,2132,000123446,842624332,M,N,WHITE,N,N,N,N,Y,Haven High School,Haven,USA,Y,BCS,BCSSE,SR
DAILY,2132,000148120,893871374,M,N,WHITE,N,N,N,N,Y,Manhattan High School,Manhattan,USA,,BCS,BCSSE,SR
DAILY,2132,000163040,890871045,M,Y,HISPANIC,Y,N,N,N,N,Campus High School,Wichita,USA,Y,BCS,BCSSE,SR
DAILY,2132,000215617,857141625,F,N,WHITE,N,N,N,N,Y,Manhattan High School,Manhattan,USA,Y,BCS,BCSCS,SR
DAILY,2132,000212805,832072191,M,N,WHITE,N,N,N,N,Y,Accelerated Schools-Kansas Cty,Overland Park,USA,,BCS,BCSCS,SR
DAILY,2132,000233942,848133787,M,N,WHITE,N,N,N,N,Y,Riley County High School,Riley,USA,,BCS,BCSSE,SR
DAILY,2132,000235524,899395173,M,N,WHITE,N,N,N,N,Y,Riley County High School,Riley,USA,Y,BCS,BCSCS,SR
DAILY,2132,000258713,851673764,M,N,WHITE,N,N,N,N,Y,Salina High School Central,Salina,USA,,NCS,,SP
DAILY,2132,000260238,845247871,M,N,WHITE,N,N,N,N,Y,Great Bend High School,Great Bend,USA,,BCS,BCSCS,SR
DAILY,2132,000262039,897903160,M,N,WHITE,N,N,N,N,Y,Pike Valley High School,Scandia,USA,,BCS,BCSCS,SO
DAILY,2132,000304717,829924708,M,N,WHITE,N,N,N,N,Y,Wichita Hs West,Wichita,USA,,BCS,BCSCS,SR
DAILY,2132,000308837,833027652,M,N,WHITE,N,N,N,N,Y,Manhattan High School,Manhattan,USA,Y,BCS,BCSSE,SR
DAILY,2132,000325755,869571324,M,N,WHITE,N,N,N,N,Y,Maize High School,Maize,USA,Y,BCS,BCSSE,SR
DAILY,2132,000360638,851710281,M,N,NOTSPEC,N,N,N,N,N,Rock Creek Jr-Sr High School,Saint George,USA,Y,BCS,BCSCS,SR
DAILY,2132,000369342,828120029,M,N,WHITE,N,N,N,N,Y,Wichita High School North,Wichita,USA,Y,BCS,BCSCS,SO
DAILY,2132,000367889,807798341,M,N,NOTSPEC,N,N,N,N,N,Tonganoxie High School,Tonganoxie,USA,Y,BCS,BCSCS,JU
DAILY,2132,000368365,889379905,M,N,WHITE,N,N,N,N,Y,Hayden High School,Topeka,USA,Y,BCS,BCSSE,SR
DAILY,2132,000368460,877287390,M,N,WHITE,N,N,N,N,Y,South Barber High School,Kiowa,USA,,BCS,BCSCS,SR
DAILY,2132,000395757,844642141,M,N,ASIAN,N,Y,N,N,N,Junction City Senior Hs,Junction City,USA,Y,BCS,BCSCS,SR
DAILY,2132,000397505,821988698,M,N,WHITE,N,N,N,N,Y,Salina High School South,Salina,USA,,BCS,BCSCS,SR
